word,group,vector_x,vector_y
capacidad_de_sacrificio,4,-0.07757733,-0.6410631
capacidad_de_trabajo,4,-0.7354625,-0.41768813
capacidades,4,-0.98752934,-1.058474
carácter,4,-0.8589301,-0.32676452
centrado,4,-1.5379666,0.16347115
colaboración,4,-0.97757566,-0.56269926
comprometido,4,-1.0150747,0.5628841
compromiso,4,-0.41773975,-0.6384892
concentración,4,-0.43666807,-0.60690045
concienciado,4,-0.73483056,0.030376097
conocimiento,4,-0.25750938,-0.44178
conocimientos,4,-0.71308875,-0.70319533
constacia,4,-0.24513406,0.11629872
constancia,4,-0.031379003,-0.29300585
constante,4,-0.64537287,-0.30655435
cooperativismo,4,-0.9944585,-0.6713644
crítica,4,-0.40012816,-0.5102
cultura,4,-0.109118804,-0.51356065
dedicado,4,-1.0713992,0.64745337
deseo_de_evolución,4,-0.18128137,-0.055278614
determinación,4,-0.6935559,-1.0620755
disciplina,4,-0.028211202,-0.88759273
disposición,4,-0.8764551,-0.107095234
educación,4,-0.75299776,-0.4329686
empeño,4,-0.05010305,-0.16336419
emprendimiento,4,-0.659765,-0.07375574
empuje,4,-0.0043699886,0.024511717
energía,4,-0.1794721,-0.26608384
entrega,4,-0.5467064,0.2059755
esforzarse,4,-0.338942,0.027343603
esfuerzo,4,-0.261953,-0.11742925
estudio,4,-1.178348,0.34087372
exigencia,4,-0.43860945,-0.78050816
expectativas_claras,4,-0.30493125,-0.02867933
formación,4,-1.3144416,-0.42203143
fuerza,4,0.30648097,-0.5539273
gestionar_el_tiempo,4,-0.7867775,0.2647874
implicación,4,-0.62393105,-0.7494675
implicado,4,-1.0550523,0.7805854
independencia,4,-0.36164552,-0.74227947
independiente,4,-1.3756113,0.18655735
iniciativa,4,-0.8581916,-0.4162276
insistencia,4,0.0936488,-0.49758264
integridad,4,-0.2712097,-1.1902161
interés,4,-0.27416748,-0.02381241
intervencionismo,4,-0.8688934,-0.67639756
juicio_crítico,4,-0.45924395,0.13846307
libertad,4,0.33004743,-0.14660108
mente_aberta,4,0.011254832,0.27012187
mente_abierta,4,-0.18580237,0.40733457
metas,4,-0.584097,0.2736926
militancia,4,-0.21563949,-0.6535938
motivaciones,4,-0.039541125,-0.3581152
motivado,4,-0.6291487,0.38692635
objetivo,4,-1.074061,0.13145275
objetivos,4,-1.3956137,-0.48525262
observador,4,-1.0750356,0.45882487
orden,4,-0.57418305,0.14586994
ordenado,4,-1.0963475,1.0945773
organización,4,-1.133432,-0.44183093
organizado,4,-1.1421262,0.636562
organizarse_el_tiempo,4,-0.4611841,0.34172544
original,4,-0.6418425,0.48597825
paz_mental,4,0.17998514,-0.1817865
pensamiento_propio,4,-0.004784333,0.1447619
persistencia,4,-0.2873996,-1.0334291
persistente,4,-0.5995751,0.09399532
perspectiva,4,-0.74508137,-0.4676758
perspectiva_amplia,4,-1.0508437,-0.35565096
positiva,4,-0.74623513,-0.51531017
positivo,4,-0.76478046,0.18239817
presencia,4,-0.31264654,-0.3739177
proactividad,4,-0.5109927,-1.2702127
productivo,4,-1.1813061,0.16694775
raza,4,0.17137314,0.10402606
resiliencia,4,-0.44728744,-1.8057821
resistencia,4,-0.09971035,-0.6319895
respecto,4,-1.0547017,-0.10068727
respetar,4,-0.544015,-0.11377519
responsabilidad,4,-0.28775582,-0.78862774
responsable,4,-1.1701547,0.6725779
salud,4,-0.6141622,-0.16010043
salud_mental,4,-0.1693687,-0.2335861
seguridad,4,-0.7256802,-0.3229966
sentido_común,4,-0.8976719,0.048203994
seriedad_en_los_trabajos,4,-0.14225337,-0.32468203
ser_presente,4,-0.6171534,0.46632656
superación,4,-0.28924483,-1.0980239
técnico,4,-1.5214812,0.21545401
trabajador,4,-0.76562023,0.6850328
trabajadora,4,-0.24909928,0.37412685
trabajo,4,-0.692663,0.538775
trabajo_constante,4,-0.6690179,0.116110355
trabajo_en_equipo,4,-0.6780739,0.54280096
una_base,4,-1.0710304,-0.16891798
visión_critica,4,-0.21274512,-0.2944847
visión_espacial,4,-0.50726205,-0.09074654
vocación_social,4,-0.23746692,-0.57947105
atencion,5,0.65383565,0.29877272
comprension,5,0.80709934,-0.73681515
concentracion,5,0.43014315,-0.3466363
corazon,5,1.5173728,0.9417987
creacion,5,-0.050251048,-0.23134194
